"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat May 02 21:17:22 UTC 2026","Sat May 02 21:17:45 UTC 2026","22757","webkit","e2e/partidas-finalizadas-list.spec.ts","Lista de partidas finalizadas","","","@smoke @core renderiza pelo menos 1 card de partida",""
"failed","Sat May 02 21:13:01 UTC 2026","Sat May 02 21:13:03 UTC 2026","1605","webkit","a11y/pages.spec.ts","","","","@a11y calendario logado sem violations serious/critical",""
"skipped","Sat May 02 21:17:16 UTC 2026","Sat May 02 21:17:16 UTC 2026","0","webkit","performance/lighthouse.spec.ts","","","","@perf lighthouse /termos-de-uso",""
"failed","Sat May 02 21:13:12 UTC 2026","Sat May 02 21:13:28 UTC 2026","16048","mobile-chrome","e2e/busca-time.spec.ts","Busca por time — typeahead","","","@smoke @core preencher filtro time dispara request /team/?name=",""
"passed","Sat May 02 21:12:34 UTC 2026","Sat May 02 21:12:35 UTC 2026","533","mobile-chrome","api/endpoint-team-search.spec.ts","API GET /team/?name=Flamengo","","","@api retorna 200 e ao menos 1 resultado contendo o termo",""
"skipped","Sat May 02 21:13:01 UTC 2026","Sat May 02 21:13:01 UTC 2026","4","chromium","e2e/calendario-page.spec.ts","/calendario — página dedicada (logado)","","","@core /calendario tem switch ""Partidas favoritas""",""
"broken","Sat May 02 21:14:49 UTC 2026","Sat May 02 21:15:21 UTC 2026","32449","chromium","e2e/partidas-finalizadas-list.spec.ts","Lista de partidas finalizadas","","","@smoke @core renderiza pelo menos 1 card de partida",""
"failed","Sat May 02 21:17:48 UTC 2026","Sat May 02 21:17:48 UTC 2026","87","webkit","visual/pages.spec.ts","Visual regression","","","@visual home logada (4 tabs)",""
"passed","Sat May 02 21:13:47 UTC 2026","Sat May 02 21:14:06 UTC 2026","18752","webkit","e2e/buscar-avancado.spec.ts","Busca avançada — typeahead, combos e reset","","","@core combinar filtros time+campeonato sem erro de runtime",""
"skipped","Sat May 02 21:15:46 UTC 2026","Sat May 02 21:15:46 UTC 2026","0","mobile-chrome","e2e/profile-popover.spec.ts","Profile popover (avatar logado)","","","@core Switch Google Calendar existe no popover do perfil",""
"failed","Sat May 02 21:13:01 UTC 2026","Sat May 02 21:13:03 UTC 2026","1601","webkit","a11y/pages.spec.ts","","","","@a11y termos de uso sem violations serious/critical",""
"failed","Sat May 02 21:13:47 UTC 2026","Sat May 02 21:14:29 UTC 2026","41866","chromium","visual/pages.spec.ts","Visual regression","","","@visual home anônima",""
"failed","Sat May 02 21:13:45 UTC 2026","Sat May 02 21:13:46 UTC 2026","492","chromium","e2e/navegacao.spec.ts","Navegação — anônimo e logado > logado","","","@core tabs LOGADO: contagem >=3 (Partidas/Melhores/Calendário no mínimo)",""
"passed","Sat May 02 21:13:10 UTC 2026","Sat May 02 21:13:38 UTC 2026","28734","chromium","e2e/match-modal.spec.ts","Modal de partida finalizada","","","@smoke @core click no card abre modal com header ""Partida Finalizada""",""
"skipped","Sat May 02 21:15:47 UTC 2026","Sat May 02 21:15:47 UTC 2026","2","firefox","e2e/profile-popover.spec.ts","Profile popover (avatar logado)","","","@core Avatar click abre popover com 4 ações (Editar, Excluir, Sair, Switch Google Calendar)",""
"skipped","Sat May 02 21:15:47 UTC 2026","Sat May 02 21:15:47 UTC 2026","0","firefox","e2e/profile-popover.spec.ts","Profile popover (avatar logado)","","","@core Switch Google Calendar existe no popover do perfil",""
"broken","Sat May 02 21:14:18 UTC 2026","Sat May 02 21:14:55 UTC 2026","36640","firefox","e2e/buscar-avancado.spec.ts","Busca avançada — typeahead, combos e reset","","","@core busca parcial por time ""Flam"" dispara /team/?name=Flam",""
"passed","Sat May 02 21:12:57 UTC 2026","Sat May 02 21:13:17 UTC 2026","20289","firefox","e2e/buscar-avancado.spec.ts","Busca avançada — typeahead, combos e reset","","","@core combinar filtros time+campeonato sem erro de runtime",""
"skipped","Sat May 02 21:14:25 UTC 2026","Sat May 02 21:14:25 UTC 2026","0","chromium","performance/lighthouse.spec.ts","","","","@perf lighthouse /termos-de-uso",""
"passed","Sat May 02 21:13:19 UTC 2026","Sat May 02 21:13:29 UTC 2026","9530","chromium","e2e/nav-tabs-anonimas.spec.ts","Nav anônima — 2 tabs","","","@smoke @core tab ""Melhores momentos"" navega para /melhores-momentos",""
"failed","Sat May 02 21:13:26 UTC 2026","Sat May 02 21:13:36 UTC 2026","10117","webkit","api/endpoint-match-inplay.spec.ts","API GET /match/?status=INPLAY","","","@api retorna 200 e envelope válido (results pode ser vazio)",""
"failed","Sat May 02 21:16:55 UTC 2026","Sat May 02 21:17:40 UTC 2026","45500","firefox","visual/pages.spec.ts","Visual regression","","","@visual home anônima",""
"failed","Sat May 02 21:17:10 UTC 2026","Sat May 02 21:17:33 UTC 2026","22905","firefox","visual/pages.spec.ts","Visual regression","","","@visual melhores-momentos anônima",""
"broken","Sat May 02 21:15:38 UTC 2026","Sat May 02 21:16:13 UTC 2026","34804","firefox","e2e/match-modal-close.spec.ts","Modal de partida — botão Close","","","@core Botão Close (X) fecha modal de partida e volta pra home",""
"passed","Sat May 02 21:15:23 UTC 2026","Sat May 02 21:15:27 UTC 2026","3560","firefox","e2e/navegacao.spec.ts","Navegação — anônimo e logado","","","@core click no logo a partir de /melhores-momentos retorna para /",""
"broken","Sat May 02 21:15:11 UTC 2026","Sat May 02 21:15:44 UTC 2026","33158","webkit","e2e/buscar-avancado.spec.ts","Busca avançada — typeahead, combos e reset","","","@core limpar filtros (refresh / click logo) restaura listagem inicial",""
"passed","Sat May 02 21:12:43 UTC 2026","Sat May 02 21:12:49 UTC 2026","6394","firefox","api/endpoint-match-ended.spec.ts","API GET /match/?status=ENDED","","","@api retorna 200 e envelope paginado válido",""
"passed","Sat May 02 21:12:44 UTC 2026","Sat May 02 21:12:50 UTC 2026","5236","firefox","api/endpoint-match-notstarted.spec.ts","API GET /match/?status=NOTSTARTED","","","@api retorna 200 com envelope válido (mesmo com results vazios)",""
"passed","Sat May 02 21:13:38 UTC 2026","Sat May 02 21:13:47 UTC 2026","8587","webkit","e2e/busca-multiplos-filtros.spec.ts","Busca com múltiplos filtros","","","@core combinar filtros time + campeonato sem erro",""
"passed","Sat May 02 21:13:01 UTC 2026","Sat May 02 21:13:06 UTC 2026","5222","chromium","e2e/home-loads.spec.ts","Home page — carregamento básico","","","@smoke @core home carrega com title correto e sem erros críticos no console",""
"failed","Sat May 02 21:17:19 UTC 2026","Sat May 02 21:17:42 UTC 2026","23046","webkit","visual/pages.spec.ts","Visual regression","","","@visual melhores-momentos anônima",""
"passed","Sat May 02 21:13:06 UTC 2026","Sat May 02 21:13:36 UTC 2026","29975","chromium","e2e/match-modal-close.spec.ts","Modal de partida — botão Close","","","@core Botão Close (X) fecha modal de partida e volta pra home",""
